imię,nazwisko,pozycja,wiek,klub,liga,kraj,data_pobrania
Jakub,Górski,09.09.98,190 / 84,KFK (Kópavogur),N/A,N/A,2025-11-09 20:19:58
Michał,Helik,09.09.95,193 / 80,Oxford United FC,N/A,N/A,2025-11-09 20:19:58
Patryk,Hryniewicki,21.05.00,195 / 91,Leiknir (Reykjavík),N/A,N/A,2025-11-09 20:19:58
Mike,Huras,28.01.06,176 / 66,SG Sonnenhof Grossaspach,N/A,N/A,2025-11-09 20:19:58
Hugo,Ista,06.03.03,185,FC Ans,N/A,N/A,2025-11-09 20:19:58
Michael,Izunwanne,04.04.07,brak danych,FC Basel 1893 II,N/A,N/A,2025-11-09 20:19:58
Ryszard,Jakubiak,21.05.03,170 / 73,AMS Koúris Erímis,N/A,N/A,2025-11-09 20:19:58
Mateusz,Jaremkiewicz,21.08.97,168 / 64,ÍBU Uppsveitir,N/A,N/A,2025-11-09 20:19:58
Dennis,Jastrzembski,20.02.00,177 / 77,SK Sturm Graz II,N/A,N/A,2025-11-09 20:19:58
Filip,Kaczmarek,06.01.07,brak danych,AC Sparta Praga B,N/A,N/A,2025-11-09 20:19:58
Iwo,Kaczmarski,16.04.04,183 / 73,Empoli FC,N/A,N/A,2025-11-09 20:19:58
Marcel,Kalemba,06.06.05,182 / 74,1.FSV Mainz 05 II,N/A,N/A,2025-11-09 20:19:58
Jakub,Kamiński,05.06.02,179 / 71,1.FC Köln,N/A,N/A,2025-11-09 20:19:58
Michał,Karbownik,13.03.01,174 / 64,Hertha BSC Berlin,N/A,N/A,2025-11-09 20:19:58
Jakub,Kałuziński,31.10.02,184 / 78,Antalyaspor Kulübü,N/A,N/A,2025-11-09 20:19:58
Jakub,Kiwior,15.02.00,187 / 80,Arsenal FC,N/A,N/A,2025-11-09 20:19:58
Jakub,Kiwior,15.02.00,187 / 80,FC Porto,N/A,N/A,2025-11-09 20:19:58
Mateusz,Klich,13.06.90,183 / 73,Atlanta United,N/A,N/A,2025-11-09 20:19:58
Patryk,Klimala,05.08.98,183 / 76,FC Seoul,N/A,N/A,2025-11-09 20:19:58
Bruno,Klimek,22.10.07,brak danych,Real Betis Balompié B,N/A,N/A,2025-11-09 20:19:58
Olaf,Kobacki,10.07.01,178 / 73,Sheffield Wednesday FC,N/A,N/A,2025-11-09 20:19:58
Martin,Kobylański,08.03.94,178 / 75,TuS Blau-Weiß Lohne,N/A,N/A,2025-11-09 20:19:58
Mateusz,Kochalski,25.07.00,189 / 88,Qarabağ Ağdam,N/A,N/A,2025-11-09 20:19:58
Kewin,Komar,26.07.03,193 / 75,AEK (Larnaka),N/A,N/A,2025-11-09 20:19:58
David,Kopacz,29.05.99,180 / 68,VfL Osnabrück,N/A,N/A,2025-11-09 20:19:58
Konrad,Korczyński,26.09.94,174 / 70,SV Altlüdersdorf,N/A,N/A,2025-11-09 20:19:58
Michael,Kostka,13.12.03,183 / 75,SC Rot-Weiss Essen,N/A,N/A,2025-11-09 20:19:58
Krzysztof,Koton,17.05.03,172 / 66,FCV Dender EH,N/A,N/A,2025-11-09 20:19:58
Sebastian,Kowalczyk,22.08.98,170 / 60,Houston Dynamo,N/A,N/A,2025-11-09 20:19:58
Mateusz,Kowalski,21.07.05,brak danych,SCU Torreense,N/A,N/A,2025-11-09 20:19:58
Dawid,Kownacki,14.03.97,185 / 75,Hertha BSC Berlin,N/A,N/A,2025-11-09 20:19:58
Nikodem,Kozłowski,24.12.04,brak danych,Treaty United FC,N/A,N/A,2025-11-09 20:19:58
Kacper,Kozłowski,16.10.03,177 / 67,Gaziantep FK,N/A,N/A,2025-11-09 20:19:58
Fabian,Krawczyk,23.08.06,brak danych,Stará Ľubovňa Redfox FC,N/A,N/A,2025-11-09 20:19:58
Jakub,Kruszyński,09.03.05,brak danych,Mansfield Town FC,N/A,N/A,2025-11-09 20:19:58
Błażej,Krężołek,13.02.06,brak danych,Undy AFC,N/A,N/A,2025-11-09 20:19:58
Pascal,Kubina,27.04.99,186 / 80,Türkspor Dortmund,N/A,N/A,2025-11-09 20:19:58
Filip,Kurto,14.06.91,191 / 82,Macarthur FC,N/A,N/A,2025-11-09 20:19:58
Tomasz,Kędziora,11.06.94,183 / 73,PAOK,N/A,N/A,2025-11-09 20:19:58
Kacper,Laskoś,05.01.00,184 / 74,ÍBU Uppsveitir,N/A,N/A,2025-11-09 20:19:58
Ben,Lederman,08.05.00,182 / 75,Maccabi Tel Awiw,N/A,N/A,2025-11-09 20:19:58
Robert,Lewandowski,21.08.88,183 / 76,FC Barcelona,N/A,N/A,2025-11-09 20:19:58
Norbert,Leśniak,11.03.00,188 / 81,GAS Anagénnissi Ártas,N/A,N/A,2025-11-09 20:19:58
Karol,Linetty,02.02.95,176 / 73,Kocaelispor Kulübü,N/A,N/A,2025-11-09 20:19:58
Patryk,Lipski,12.06.94,185 / 79,ENY Digenís Ýpsona,N/A,N/A,2025-11-09 20:19:58
Mateusz,Lis,27.02.97,192 / 83,Göztepe SK,N/A,N/A,2025-11-09 20:19:58
Robin,Lisewski,13.02.06,195,1.FC Nürnberg VfL,N/A,N/A,2025-11-09 20:19:58
Franciszek,Liszka,07.08.03,brak danych,MŠK Považská Bystrica,N/A,N/A,2025-11-09 20:19:58
Marcel,Lotka,25.05.01,190 / 74,Fortuna Düsseldorf 1895,N/A,N/A,2025-11-09 20:19:58
Maik,Lukowicz,01.02.95,188 / 78,Helmond Sport,N/A,N/A,2025-11-09 20:19:58
Patryk,Maciołek,25.03.02,brak danych,Xylofágou FC,N/A,N/A,2025-11-09 20:19:58
Patryk,Mackiewicz,23.10.08,brak danych,FC Internazionale Milano,N/A,N/A,2025-11-09 20:19:58
Jordan,Majchrzak,08.10.04,186 / 72,VfB Stuttgart 1893 II,N/A,N/A,2025-11-09 20:19:58
Radosław,Majecki,16.11.99,191 / 78,Stade Brestois 29,N/A,N/A,2025-11-09 20:19:58
Alan,Majerski,26.11.98,brak danych,Santa Maria FC,N/A,N/A,2025-11-09 20:19:58
Wiktor,Makowski,02.11.02,175 / 77,Slough Town FC,N/A,N/A,2025-11-09 20:19:58
Tomasz,Mamis,22.07.02,172 / 66,Be1 Jonava,N/A,N/A,2025-11-09 20:19:58
Filip,Marchwiński,10.01.02,185 / 72,US Lecce,N/A,N/A,2025-11-09 20:19:58
Dominik,Marczuk,01.11.03,180 / 74,Real Salt Lake,N/A,N/A,2025-11-09 20:19:58
Szymon,Maszota,09.06.02,182 / 80,KF Álafoss,N/A,N/A,2025-11-09 20:19:58
Bartosz,Matoga,31.10.02,185 / 80,Njarðvík,N/A,N/A,2025-11-09 20:19:58
Wiktor,Matyjewicz,11.01.04,189 / 79,Kallithéa GS,N/A,N/A,2025-11-09 20:19:58
Miłosz,Matysik,26.04.04,190 / 78,Áris Lemessoú,N/A,N/A,2025-11-09 20:19:58
Patryk,Mazur,25.01.07,brak danych,Juventus Next Gen,N/A,N/A,2025-11-09 20:19:58
Krzysztof,Maślanka,08.05.03,197 / 97,FC Baník Prievidza,N/A,N/A,2025-11-09 20:19:58
Konrad,Michalak,19.09.97,174 / 61,Panetolikós GFS,N/A,N/A,2025-11-09 20:19:58
Dawid,Migus,17.09.01,175 / 68,RB (Keflavík),N/A,N/A,2025-11-09 20:19:58
Daniel,Mikołajewski,24.01.06,184 / 76,Parma Calcio 1913,N/A,N/A,2025-11-09 20:19:58
Cezary,Miszta,30.10.01,192 / 80,Rio Ave FC,N/A,N/A,2025-11-09 20:19:58
Kornel,Miściur,27.04.07,brak danych,Liverpool FC,N/A,N/A,2025-11-09 20:19:58
Jakub,Moder,07.04.99,188 / 78,Feyenoord Rotterdam,N/A,N/A,2025-11-09 20:19:58
Fabian,Mrozek,28.09.03,brak danych,Liverpool FC,N/A,N/A,2025-11-09 20:19:58
Mateusz,Musiałowski,16.10.03,175 / 65,AS Omónia Lefkossías,N/A,N/A,2025-11-09 20:19:58
Sebastian,Musiolik,19.05.96,193 / 88,AE Kifissiás,N/A,N/A,2025-11-09 20:19:58
Jakub,Myszor,07.06.02,175 / 66,Teuta Durrës,N/A,N/A,2025-11-09 20:19:58
Dominik,Naglik,14.03.04,brak danych,Brechin Victoria JFC,N/A,N/A,2025-11-09 20:19:58
Michał,Nalepa,24.03.95,170 / 68,Gençlerbirliği SK,N/A,N/A,2025-11-09 20:19:58
Maik,Nawrocki,07.02.01,185 / 74,Hannover 96,N/A,N/A,2025-11-09 20:19:58
Karol,Niemczycki,05.07.99,190 / 84,Ashdod SC,N/A,N/A,2025-11-09 20:19:58
Eryk,Niemira,12.11.97,195 / 88,UD Los Llanos de Aridane,N/A,N/A,2025-11-09 20:19:58
Krystian,Nowak,01.04.94,188 / 83,Andijon PFK,N/A,N/A,2025-11-09 20:19:58
Miłosz,Ochmański,21.05.06,brak danych,Cove Rangers FC,N/A,N/A,2025-11-09 20:19:58
Jakub,Ojrzyński,19.02.03,196 / 84,Örebro SK,N/A,N/A,2025-11-09 20:19:58
Krystian,Okoniewski,24.01.05,187 / 80,Dainava Alytus,N/A,N/A,2025-11-09 20:19:58
Maximillian,Oyedele,07.11.04,180 / 69,RC Strasbourg,N/A,N/A,2025-11-09 20:19:58
Martin,Pajaczkowski,23.11.97,brak danych,Favoritner AC,N/A,N/A,2025-11-09 20:19:58
Piotr,Pardel,31.01.05,brak danych,Atalanta BC U23,N/A,N/A,2025-11-09 20:19:58
Piotr,Parzyszek,08.09.93,190 / 80,Kuopion Palloseura,N/A,N/A,2025-11-09 20:19:58
Bartosz,Pawluczuk,08.03.03,180 / 75,AS Alkí (Larnaka),N/A,N/A,2025-11-09 20:19:58
Patryk,Peda,16.04.02,190 / 76,Palermo FC,N/A,N/A,2025-11-09 20:19:58
Marcus,Piossek,21.07.89,176 / 72,BV Herne-Süd,N/A,N/A,2025-11-09 20:19:58
Jakub,Piotrowski,04.10.97,188 / 79,Łudogorec Razgrad,N/A,N/A,2025-11-09 20:19:58
Jakub,Piotrowski,04.10.97,188 / 79,Udinese Calcio,N/A,N/A,2025-11-09 20:19:58
Krzysztof,Piątek,01.07.95,183 / 77,Al-Duhail SC,N/A,N/A,2025-11-09 20:19:58
Szymon,Plesiewicz,17.01.07,180 / 71,Edinburgh City FC,N/A,N/A,2025-11-09 20:19:58
Kamil,Popowicz,31.10.96,186 / 81,ČSK Uherský Brod,N/A,N/A,2025-11-09 20:19:58
Marc,Popów,12.11.04,185 / 78,Kansas City Roos,N/A,N/A,2025-11-09 20:19:58
David,Poreba,01.12.02,182 / 75,Chicago Fire FC II,N/A,N/A,2025-11-09 20:19:58
Łukasz,Poręba,13.03.00,179 / 68,SV 07 Elversberg,N/A,N/A,2025-11-09 20:19:58
Albert,Posiadała,25.02.03,192 / 78,Molde FK,N/A,N/A,2025-11-09 20:19:58
Albert,Posiadała,25.02.03,192 / 78,Samsunspor Kulübü,N/A,N/A,2025-11-09 20:19:58
Kacper,Potulski,19.10.07,195 / 85,1.FSV Mainz 05,N/A,N/A,2025-11-09 20:19:58
Michał,Przybylski,29.12.97,175 / 64,NSÍ Runavík,N/A,N/A,2025-11-09 20:19:58
